NUMERO AGENCIA,RAZON SOCIAL,ESTADO1,TELEFONO,EJECUTIVO,CIUDAD,MUNICIPIO,PROVINCIA,LONGITUD,LATITUD,CALLE,SECTOR,Com.Aplicada,Com.Faltante,Descuento_ISR
132723,COLMADO MEDINA,A,0000000000,RD.ECollado.JBeriguete,HERRERA,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
132725,COLMADO RAMOS,A,0000000000,RD.ECollado.JBeriguete,HERRERA (SANTO DOMINGO OESTE),N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
132728,COLMADO LA JAVILLA,A,0000000000,RD.ECollado.JBeriguete,HERRERA (SANTO DOMINGO OESTE),N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
132808,D´PAHOLA,A,0000000000,RD.JMella,SAN CARLOS (SANTO DOMINGO),N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
133786,JYS COMPUTOS,A,0000000000,RD.FLereboursBussi,HIGÜEY (LA ALTAGRACIA),N/A,La Altagracia,,,N/A,N/A,8.11,5.89,10
133807,COLMADO EL BERY,A,0000000000,RD.ECollado.JBeriguete,HERRERA (SANTO DOMINGO OESTE),N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
133831,COLMADO EL TUNEL,A,0000000000,RD.ECollado.RMurray,"LAS FLORES, CRISTO REY",N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
133833,COLMADO EL GRANERO,A,0000000000,RD.ECollado.JNunez,ARENOSO,N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
134012,COLMADO VIP,A,0000000000,RD.ECollado.JBeriguete,SANTO DOMINGO OESTE,N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
134013,BANCA FAMOSA,A,0000000000,RD.ECollado.JBeriguete,SANTO DOMINGO OESTE,N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
134014,COLMADO SAN MIGUEL,A,0000000000,RD.ECollado.JBeriguete,SANTO DOMINGO OESTE,N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
134017,COLMADO SANCHEZ KM9,A,0000000000,RD.ECollado.JBeriguete,SANTO DOMINGO OESTE,N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
134018,COLMADO KENEDI (CAFÉ),A,0000000000,RD.ECollado.NCarrasco,SANTO DOMINGO OESTE,N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
134020,SUPER BODEGA EVANS,A,0000000000,RD.ECollado.JBeriguete,SANTO DOMINGO,N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
134026,D'GABRIEL MINI MARKET,A,0000000000,RD.ECollado.KHolguin,SANTO DOMINGO,N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
134036,COL. DE TODO UN POCO,A,0000000000,RD.DPaulino,SANTO DGO. ESTE,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
134249,MINIMARKET,A,0000000000,RD.DPaulino,MENDOZA,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
134279,CAF. TRANSPORTE CIBAO,A,0000000000,RD.Almonte.CarlosRodriguez,EL TELEFERICO,N/A,Santiago,,,N/A,N/A,8.11,5.89,10
134491,COLMADO SAN MIGUEL,A,0000000000,Rd.ECollado.SMoreta,MIRAMAR (DISTRITO NACIONAL),N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
134724,COMERCIAL FILETE,A,0000000000,RD.DPaulino,STO. DGO. ESTE,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
134857,COLMADO ALBA,A,0000000000,RD.DPaulino,BRISAS DE MENDOZA ( SANTO DOMINGO ESTE),N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
134988,COLMADO MAGALY,A,0000000000,RD.DRosarioR,LOS MAMEYES,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
135000,COLMADO EL OLIVO,A,0000000000,RD.EMontero,LOS BLANCOS,N/A,Barahona,,,N/A,N/A,8.11,5.89,10
135002,COLMADO SANDRA,A,0000000000,RD.EMontero,LA CIENIGA,N/A,Barahona,,,N/A,N/A,8.11,5.89,10
135004,GLORIANNY DIGITACIONES,A,0000000000,RD.EMontero,LA CIENIGA,N/A,Barahona,,,N/A,N/A,8.11,5.89,10
135010,COLMADO ROSA  SALINAS,A,0000000000,RD.EMontero,VILLA CENTRAL,N/A,Barahona,,,N/A,N/A,8.11,5.89,10
135014,COLMADO LA ESPERANZA,A,0000000000,RD.EMontero,EL LAUREL,N/A,Barahona,,,N/A,N/A,8.11,5.89,10
135026,COLMADO STARLIN,A,0000000000,RD.EMontero,LOS SOLARES,N/A,Barahona,,,N/A,N/A,8.11,5.89,10
135366,COL. ROSSY,A,0000000000,Rd.ECollado.SMoreta,BUENOS AIRES MIRADOR SUR,N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
135519,"COL ORALVA, LOS COCOS.",A,0000000000,RD.FNolasco,PUERTO PLATA,N/A,Puerto Plata,,,N/A,N/A,8.11,5.89,10
135643,FARMACIA MICHENOR*,A,0000000000,RD.NMedina,BOCA CHICA,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
135665,COLMADO ELIDO,A,0000000000,RD.ECollado.JNunez,LOS ALCARRIZOS,N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
135703,COL DON MANNI #1,A,0000000000,RD.MCastillo,BAVARO,N/A,La Altagracia,,,N/A,N/A,8.11,5.89,10
135727,COLMADO CECILIA,A,0000000000,RD.DPaulino,EL ALMIRANTE,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
135729,SUPER COLMADO GENESIS II,A,0000000000,RD.ECollado.RMurray,HERRERA,N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
135741,COLMADO LA ANTENA,A,0000000000,RD.DPaulino,EL ALMIRANTE,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
135877,PANADERIA,A,0000000000,RD.RFiguereo,SANTO DOMINGO ESTE,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
135982,MARTIN SAN ISIDRO,A,0000000000,RD.DRosarioR,ENSANCHE ISABELITA,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
136236,BANCA SEGUNDA,A,0000000000,RD.ECollado.KHolguin,CAFE DE HERRERA,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
136289,COLMADO ARISTIDES,A,0000000000,RD.Almonte.DPolanco,LICEY,N/A,Santiago,,,N/A,N/A,8.11,5.89,10
136460,FARMACIA EL RETOÑO,A,0000000000,RD.DRosarioR,SANTO DOMINGO,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
136462,COLMADO TRONCOSO,A,0000000000,RD.DRosarioR,LOS MAMEYES,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
136463,COL. PIPULAR GERALDO,A,0000000000,RD.DRosarioR,LOS MAMEYES,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
136471,COL. CENTRAL (LUCERNA),A,0000000000,RD.ECollado.NCarrasco,UTESA,N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
136568,COL. ORTIZ NO.9,A,0000000000,RD.NMedina,BOCA CHICA,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
136590,WELINTONG PRUEBA,A,0000000000,RD.WPerez,LOS MINA (SANTO DOMINGO),N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
136642,COLMADO LA FAMA (CAONABO),A,0000000000,RD.ECollado.NCarrasco,JARDINES DEL NORTE,N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
136736,COL ALOPAZ,A,0000000000,RD.NMedina,BOCA CHICA,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
136842,CAFETERIA EXPRESO QUINTO PATIO,A,0000000000,RD.Almonte,VILLA VERDE,N/A,Santiago,,,N/A,N/A,8.11,5.89,10
137089,COL LA ECONOMIA AGRICOLA,A,0000000000,RD.MGarciaJavier,VILLA AGRICOLA,N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
137249,COLMADO SANDRITA,A,0000000000,RD.EMontero,VILLA CENTRAL,N/A,Barahona,,,N/A,N/A,8.11,5.89,10
137297,MIRIAM CARRERAS,A,0000000000,RD.DRosarioR,LOS MAMEYES (SANTO DOMINGO ESTE),N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
137325,COLMADO MIGUELINA,A,0000000000,RD.ECollado.JBeriguete,BAYONA (SANTO DOMINGO OESTE),N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
137344,MINIMARKET HERMANOS DE LA FUENTE,A,0000000000,RD.ClienteCalle,ENSANCHE LUPERÓN (SANTO DOMINGO),N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
137367,COLMADO NICOLE,A,0000000000,RD.DRosarioR,VILLA DUARTE,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
137396,COLMADO EL MERCARDITO,A,0000000000,RD.NMedina,BOCA CHICA,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
137555,COLMADO LAMPARITA,A,0000000000,RD.ECollado.RecargaSolutions,SAN CARLOS,N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
137576,COL. RG,A,0000000000,RD.NMedina,BOCA CHICA,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
137577,BANCA ANTONY,A,0000000000,RD.ATejeda,SAN JOSE DE OCOA,N/A,San José de Ocoa,,,N/A,N/A,8.11,5.89,10
137578,BANCA ANTONY 2,A,0000000000,RD.ATejeda,SAN JOSE DE OCOA,N/A,San José de Ocoa,,,N/A,N/A,8.11,5.89,10
137579,BANCA ANTONY 3,A,0000000000,RD.ATejeda,SAN JOSE DE OCOA,N/A,San José de Ocoa,,,N/A,N/A,8.11,5.89,10
137625,COLMADO GRACIELA,A,0000000000,RD.WCaraballo,LA ROMANA,N/A,La Romana,,,N/A,N/A,8.11,5.89,10
137682,DEBAJA,A,0000000000,RD.WCaraballo,LA ROMANA,N/A,La Romana,,,N/A,N/A,8.11,5.89,10
